id,kangxiIndex,radical,pinyin,nameVi,meaningVi,strokeCount,variants,groupKey,source,sourceUrl,verificationStatus
radical_030,30,口,kǒu,Khẩu,miệng,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_031,31,囗,wéi,Vi,vây quanh,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_032,32,土,tǔ,Thổ,đất,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_033,33,士,shì,Sĩ,kẻ sĩ,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_034,34,夂,zhǐ,Tuy,đi đến sau; chân đi từ phía sau,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_035,35,夊,suī,Truy,đi chậm,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_036,36,夕,xī,Tịch,"đêm, buổi tối",3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_037,37,大,dà,Đại,"to, lớn",3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_038,38,女,nǚ,Nữ,"phụ nữ, con gái",3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_039,39,子,zǐ,Tử,con; con cái,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_040,40,宀,mián,Miên,mái nhà,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_041,41,寸,cùn,Thốn,tấc; đơn vị đo,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_042,42,小,xiǎo,Tiểu,nhỏ,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_043,43,尢,yóu,Uông,"yếu, què",3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_044,44,尸,shī,Thi,xác chết; thân người,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_045,45,屮,chè,Triệt,mầm non,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_046,46,山,shān,Sơn,núi,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_047,47,巛,chuān,Xuyên,sông,3,川,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_048,48,工,gōng,Công,công việc; người thợ,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_049,49,己,jǐ,Kỷ,bản thân,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_050,50,巾,jīn,Cân,khăn,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_051,51,干,gān,Can,can; can dự,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_052,52,幺,yāo,Yêu,nhỏ bé,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_053,53,广,guǎng,Nghiễm,"mái nhà, nhà có mái",3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_054,54,廴,yǐn,Dẫn,bước dài,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_055,55,廾,gǒng,Củng,chắp hai tay,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_056,56,弋,yì,Dặc,bắn; chiếm lấy,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_057,57,弓,gōng,Cung,cung tên,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_058,58,彐,jì,Kệ,đầu con nhím; mõm,3,彑,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_059,59,彡,shān,Sam,lông tóc dài; vằn,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_060,60,彳,chì,Xích,bước chân trái,3,,3_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_061,61,心,xīn,Tâm,"tim, lòng, tâm trí",4,忄,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_062,62,戈,gē,Qua,vũ khí dài,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_063,63,户,hù,Hộ,cửa một cánh,4,戶,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_064,64,手,shǒu,Thủ,tay,4,扌,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_065,65,支,zhī,Chi,"cành, nhánh",4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_066,66,攴,pū,Phộc,đánh nhẹ,4,攵,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_067,67,文,wén,Văn,văn; nét vằn,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_068,68,斗,dǒu,Đẩu,"đấu, dụng cụ đong",4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_069,69,斤,jīn,Cân,"rìu, búa",4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_070,70,方,fāng,Phương,vuông; phương hướng,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_071,71,无,wú,Vô,không,4,旡,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_072,72,日,rì,Nhật,mặt trời; ngày,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_073,73,曰,yuē,Viết,nói rằng,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_074,74,月,yuè,Nguyệt,mặt trăng; tháng,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_075,75,木,mù,Mộc,"cây, gỗ",4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_076,76,欠,qiàn,Khiếm,thiếu; ngáp,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_077,77,止,zhǐ,Chỉ,dừng lại,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_078,78,歹,dǎi,Đãi,"xấu, chết; xấu xa",4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_079,79,殳,shū,Thù,binh khí cán dài,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_080,80,毋,wú,Vô,"chớ, đừng",4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_081,81,比,bǐ,Tỷ,so sánh,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_082,82,毛,máo,Mao,lông,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_083,83,氏,shì,Thị,họ; dòng họ,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_084,84,气,qì,Khí,"hơi, khí",4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_085,85,水,shuǐ,Thủy,nước,4,氵,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_086,86,火,huǒ,Hỏa,lửa,4,灬,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_087,87,爪,zhǎo,Trảo,móng vuốt,4,爫,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_088,88,父,fù,Phụ,cha,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_089,89,爻,yáo,Hào,"hào âm, hào dương",4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_090,90,爿,qiáng,Tường,mảnh gỗ; giường,4,丬,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_091,91,片,piàn,Phiến,"mảnh, tấm",4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_092,92,牙,yá,Nha,răng,4,,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_093,93,牛,niú,Ngưu,"trâu, bò",4,牜,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_094,94,犬,quǎn,Khuyển,chó,4,犭,4_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_095,95,玄,xuán,Huyền,đen huyền; huyền bí,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_096,96,玉,yù,Ngọc,"ngọc, đá quý",5,王,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_097,97,瓜,guā,Qua,dưa,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_098,98,瓦,wǎ,Ngõa,ngói,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_099,99,甘,gān,Cam,ngọt,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_100,100,生,shēng,Sinh,sinh ra; sinh trưởng,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_101,101,用,yòng,Dụng,dùng,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_102,102,田,tián,Điền,ruộng,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_103,103,疋,pǐ,Thất,tấm vải; đơn vị đo,5,匹,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_104,104,疒,nè,Nạch,bệnh tật,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_105,105,癶,bō,Bát,bước chân; hướng ngược,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_106,106,白,bái,Bạch,trắng,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_107,107,皮,pí,Bì,da,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_108,108,皿,mǐn,Mãnh,"đĩa, đồ đựng",5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_109,109,目,mù,Mục,mắt,5,罒,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_110,110,矛,máo,Mâu,giáo,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_111,111,矢,shǐ,Thỉ,mũi tên,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_112,112,石,shí,Thạch,đá,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_113,113,示,shì,Thị,chỉ thị; thần linh,5,礻,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_114,114,禸,róu,Nhựu,dấu chân,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_115,115,禾,hé,Hòa,lúa,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_116,116,穴,xué,Huyệt,"hang, lỗ",5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_117,117,立,lì,Lập,đứng; lập,5,,5_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_118,118,竹,zhú,Trúc,tre,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_119,119,米,mǐ,Mễ,gạo,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_120,120,糸,sī,Mịch,"tơ, sợi",6,糹; 纟,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_121,121,缶,fǒu,Phẫu,"đồ sành, chum vại",6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_122,122,网,wǎng,Võng,lưới,6,罒; 罓,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_123,123,羊,yáng,Dương,"dê, cừu",6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_124,124,羽,yǔ,Vũ,lông vũ,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_125,125,老,lǎo,Lão,già,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_126,126,而,ér,Nhi,"mà, và; râu",6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_127,127,耒,lěi,Lỗi,cái cày,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_128,128,耳,ěr,Nhĩ,tai,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_129,129,聿,yù,Duật,bút,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_130,130,肉,ròu,Nhục,thịt,6,月,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_131,131,臣,chén,Thần,bề tôi,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_132,132,自,zì,Tự,tự mình; từ,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_133,133,至,zhì,Chí,đến,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_134,134,臼,jiù,Cữu,cối giã,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_135,135,舌,shé,Thiệt,lưỡi,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_136,136,舛,chuǎn,Suyễn,"sai khác, trái ngược",6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_137,137,舟,zhōu,Chu,thuyền,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_138,138,艮,gèn,Cấn,quẻ Cấn; dừng,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_139,139,色,sè,Sắc,màu sắc; vẻ,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_140,140,艸,cǎo,Thảo,cỏ,6,艹,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_141,141,虍,hū,Hổ,vằn hổ,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_142,142,虫,chóng,Trùng,sâu bọ,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_143,143,血,xuè,Huyết,máu,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_144,144,行,xíng,Hành,đi; làm,6,,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_145,145,衣,yī,Y,áo,6,衤,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_146,146,襾,yà,Á,che phủ,6,覀,6_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_147,147,見,jiàn,Kiến,"thấy, nhìn",7,见,7_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_148,148,角,jiǎo,Giác,góc; sừng,7,,7_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_149,149,言,yán,Ngôn,lời nói,7,讠,7_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
radical_150,150,谷,gǔ,Cốc,thung lũng,7,,7_net,CGE 214 bộ thủ tiếng Trung,https://cge.edu.vn/chu-han/214-bo-thu-tieng-trung.html,reference_checked
